title,authors,journal,year
Intermediate representation for heterogeneous multi-core: A survey,M Belwal     TSB Sudarshan,VLSI Systems  Architecture  Technology and Applications (VLSI-SATA)  2015�…  2015,2015
Acquisition and analysis of robotic data using machine learning techniques,S Mishra     G Radhakrishnan     D Gupta     TSB Sudarshan,Computational Intelligence in Data Mining-Volume 3  489-498  2015,2015
Control of a biped robot with flexible foot on an uneven terrain,S Balakrishnan     S Tripathi     TSB Sudarshan,Information and Automation for Sustainability (ICIAfS)  2014 7th�…  2014,2014
Multi robot exploration and mapping using frontier cell concept,M Rajesh     GR Jose     TSB Sudarshan,India Conference (INDICON)  2014 Annual IEEE  1-6  2014,2014
Coordination of mobile robots with master-slave architecture for a service application,A Anand     M Nithya     TSB Sudarshan,Contemporary Computing and Informatics (IC3I)  2014 International Conference�…  2014,2014
Analysis of robotic environment using low resolution image sequence,S Sreedharan     G Radhakrishnan     D Gupta     TSB Sudarshan,Contemporary Computing and Informatics (IC3I)  2014 International Conference�…  2014,2014
Flexible foot system for a biped robot,C Nimisha     S Kochuvila     TSB Sudarshan     SR Nagaraja,Circuits  Communication  Control and Computing (I4C)  2014 International�…  2014,2014
Fully distributed and decentralized map building for multi-robot exploration,M Rajesh     R Joseph     TSB Sudarshan,Embedded Systems (ICES)  2014 International Conference on  220-224  2014,2014
Low power predictive placement cache scheme for embedded system,BR Upadhyay     TSB Sudarshan,Embedded Systems (ICES)  2014 International Conference on  250-254  2014,2014
A survey on design space exploration for heterogeneous multi-core,M Belwal     TSB Sudarshan,Embedded Systems (ICES)  2014 International Conference on  80-85  2014,2014
Intelligent Echocardiographic Video Analyzer Using Parallel Algorithms.,S Nandagopalan     TSB Sudarshan     N Deepak     N Pradeep,IC2IT  157-166  2014,2014
Systolic Array Implementation of DFT with Reduced Multipliers Using Triple Matrix Product,I Mamatha     S Tripathi     TSB Sudarshan     N Bhattar,Advances in Signal Processing and Intelligent Recognition Systems  311-322  2014,2014
Experimentation and analysis of time series data for rescue robotics,R Gopalapillai     D Gupta     TSB Sudarshan,Recent Advances in Intelligent Informatics  443-453  2014,2014
Classification of robotic data using artificial neural network,R Gopalapillai     J Vidhya     D Gupta     TSB Sudarshan,Intelligent Computational Systems (RAICS)  2013 IEEE Recent Advances in  333-337  2013,2013
Reduced complexity architecture for convolution based discrete cosine transform,I Mamatha     JN Raj     S Tripathi     TSB Sudarshan,Electronic System Design (ISED)  2013 International Symposium on  67-71  2013,2013
ZEEP: Zone based energy efficient routing protocol for mobile sensor networks,JR Srivastava     TSB Sudarshan,Advances in Computing  Communications and Informatics (ICACCI)  2013�…  2013,2013
Intelligent traffic management with wireless sensor networks,JR Srivastava     TSB Sudarshan,Computer Systems and Applications (AICCSA)  2013 ACS International�…  2013,2013
Stability of an Underactuated Passive Biped Robot Using Partial Feedback Linearization Technique,S Kochuvila     S Tripathi     TSB Sudarshan,Applied Mechanics and Materials 394  456-462  2013,2013
Learning from Demonstration with State Based Obstacle Avoidance for Mobile Service Robots,AA Nippun Kumaar     TSB Sudarshan,Applied Mechanics and Materials 394  448-455  2013,2013
SQL based cardiovascular ultrasound image classification,S Nandagopalan*     AB Suryanarayana     TSB Sudarshan     ...,International journal of data mining and bioinformatics 7 (3)  266-283  2013,2013
